20/Sep/2023  16:06 PM
*********************************************************************************
Brocoli: 1  tamaño x:45.00  tamaño Y: 39.59
Brocoli: 2  tamaño x:6.00  tamaño Y: 11.36
Brocoli: 3  tamaño x:9.00  tamaño Y: 26.64
Brocoli: 4  tamaño x:10.00  tamaño Y: 13.88
Brocoli: 5  tamaño x:6.00  tamaño Y: 18.46
Brocoli: 6  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 7  tamaño x:7.00  tamaño Y: 12.07
Brocoli: 8  tamaño x:10.00  tamaño Y: 16.92
Brocoli: 9  tamaño x:14.00  tamaño Y: 24.30
Brocoli: 10  tamaño x:7.00  tamaño Y: 25.02
Brocoli: 11  tamaño x:7.00  tamaño Y: 20.34
Brocoli: 12  tamaño x:10.00  tamaño Y: 20.23
Brocoli: 13  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 14  tamaño x:9.00  tamaño Y: 18.99
Brocoli: 15  tamaño x:10.00  tamaño Y: 18.99
Brocoli: 16  tamaño x:10.00  tamaño Y: 20.06
Brocoli: 17  tamaño x:10.00  tamaño Y: 19.88
Brocoli: 18  tamaño x:10.00  tamaño Y: 21.96
Brocoli: 19  tamaño x:9.00  tamaño Y: 21.78
Brocoli: 20  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 21  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 22  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 23  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 24  tamaño x:28.00  tamaño Y: 24.94
Brocoli: 25  tamaño x:29.00  tamaño Y: 23.36
Brocoli: 26  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 27  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 28  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 29  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 30  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 31  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 32  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 33  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 34  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 35  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 36  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 37  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 38  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 39  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 40  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 41  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 42  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 43  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 44  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 45  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 46  tamaño x:65.00  tamaño Y: 47.84
Brocoli: 47  tamaño x:26.00  tamaño Y: 35.25
Brocoli: 48  tamaño x:28.00  tamaño Y: 33.12
Brocoli: 49  tamaño x:28.00  tamaño Y: 32.86
Brocoli: 50  tamaño x:29.00  tamaño Y: 30.23
Brocoli: 51  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 52  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 53  tamaño x:32.00  tamaño Y: 35.81
Brocoli: 54  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 55  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 56  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 57  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 58  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 59  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 60  tamaño x:37.00  tamaño Y: 37.09
Brocoli: 61  tamaño x:39.00  tamaño Y: 39.61
Brocoli: 62  tamaño x:37.00  tamaño Y: 36.08
Brocoli: 63  tamaño x:37.00  tamaño Y: 36.23
Brocoli: 64  tamaño x:55.00  tamaño Y: 50.82
Brocoli: 65  tamaño x:55.00  tamaño Y: 42.27
Brocoli: 66  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 67  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 68  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 69  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 70  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 71  tamaño x:11.00  tamaño Y: 9.22
Brocoli: 72  tamaño x:6.00  tamaño Y: 21.24
Brocoli: 73  tamaño x:7.00  tamaño Y: 16.38
Brocoli: 74  tamaño x:11.00  tamaño Y: 23.76
Brocoli: 75  tamaño x:7.00  tamaño Y: 20.95
