21/Sep/2023  13:10 PM
*********************************************************************************
Brocoli: 1  tamaño x:38.00  tamaño Y: 68.14
Brocoli: 2  tamaño x:41.00  tamaño Y: 85.32
Brocoli: 3  tamaño x:9.00  tamaño Y: 19.17
Brocoli: 4  tamaño x:20.00  tamaño Y: 42.66
Brocoli: 5  tamaño x:23.00  tamaño Y: 73.83
Brocoli: 6  tamaño x:17.00  tamaño Y: 31.35
Brocoli: 7  tamaño x:19.00  tamaño Y: 25.94
Brocoli: 8  tamaño x:11.00  tamaño Y: 9.64
Brocoli: 9  tamaño x:4.00  tamaño Y: 7.40
Brocoli: 10  tamaño x:3.00  tamaño Y: 3.70
Brocoli: 11  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 12  tamaño x:18.00  tamaño Y: 54.46
Brocoli: 13  tamaño x:20.00  tamaño Y: 76.14
Brocoli: 14  tamaño x:20.00  tamaño Y: 75.60
Brocoli: 15  tamaño x:16.00  tamaño Y: 74.12
Brocoli: 16  tamaño x:16.00  tamaño Y: 78.05
Brocoli: 17  tamaño x:16.00  tamaño Y: 76.84
Brocoli: 18  tamaño x:16.00  tamaño Y: 78.96
Brocoli: 19  tamaño x:14.00  tamaño Y: 77.20
Brocoli: 20  tamaño x:15.00  tamaño Y: 76.65
Brocoli: 21  tamaño x:17.00  tamaño Y: 72.39
Brocoli: 22  tamaño x:13.00  tamaño Y: 66.97
Brocoli: 23  tamaño x:18.00  tamaño Y: 31.11
Brocoli: 24  tamaño x:15.00  tamaño Y: 11.04
Brocoli: 25  tamaño x:16.00  tamaño Y: 10.98
Brocoli: 26  tamaño x:10.00  tamaño Y: 5.63
Brocoli: 27  tamaño x:12.00  tamaño Y: 7.15
Brocoli: 28  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 29  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 30  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 31  tamaño x:10.00  tamaño Y: 9.97
Brocoli: 32  tamaño x:22.00  tamaño Y: 24.51
Brocoli: 33  tamaño x:20.00  tamaño Y: 18.35
Brocoli: 34  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 35  tamaño x:22.00  tamaño Y: 20.79
Brocoli: 36  tamaño x:18.00  tamaño Y: 19.32
Brocoli: 37  tamaño x:16.00  tamaño Y: 15.84
Brocoli: 38  tamaño x:25.00  tamaño Y: 28.98
Brocoli: 39  tamaño x:18.00  tamaño Y: 20.23
Brocoli: 40  tamaño x:17.00  tamaño Y: 19.04
Brocoli: 41  tamaño x:15.00  tamaño Y: 17.08
Brocoli: 42  tamaño x:67.00  tamaño Y: 166.60
Brocoli: 43  tamaño x:36.00  tamaño Y: 90.65
Brocoli: 44  tamaño x:55.00  tamaño Y: 97.00
Brocoli: 45  tamaño x:36.00  tamaño Y: 90.06
Brocoli: 46  tamaño x:40.00  tamaño Y: 84.49
Brocoli: 47  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 48  tamaño x:17.00  tamaño Y: 44.55
Brocoli: 49  tamaño x:16.00  tamaño Y: 60.18
Brocoli: 50  tamaño x:24.00  tamaño Y: 65.26
Brocoli: 51  tamaño x:16.00  tamaño Y: 67.41
Brocoli: 52  tamaño x:17.00  tamaño Y: 35.03
Brocoli: 53  tamaño x:14.00  tamaño Y: 22.50
Brocoli: 54  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 55  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 56  tamaño x:5.00  tamaño Y: 6.63
Brocoli: 57  tamaño x:5.00  tamaño Y: 6.73
Brocoli: 58  tamaño x:15.00  tamaño Y: 18.40
Brocoli: 59  tamaño x:42.00  tamaño Y: 82.81
Brocoli: 60  tamaño x:29.00  tamaño Y: 67.50
Brocoli: 61  tamaño x:31.00  tamaño Y: 80.31
Brocoli: 62  tamaño x:36.00  tamaño Y: 81.18
Brocoli: 63  tamaño x:16.00  tamaño Y: 60.85
Brocoli: 64  tamaño x:16.00  tamaño Y: 62.37
Brocoli: 65  tamaño x:16.00  tamaño Y: 49.29
Brocoli: 66  tamaño x:37.00  tamaño Y: 85.56
Brocoli: 67  tamaño x:10.00  tamaño Y: 14.85
Brocoli: 68  tamaño x:21.00  tamaño Y: 18.04
Brocoli: 69  tamaño x:5.00  tamaño Y: 8.12
Brocoli: 70  tamaño x:9.00  tamaño Y: 15.84
Brocoli: 71  tamaño x:7.00  tamaño Y: 9.15
Brocoli: 72  tamaño x:6.00  tamaño Y: 8.83
Brocoli: 73  tamaño x:15.00  tamaño Y: 14.26
Brocoli: 74  tamaño x:17.00  tamaño Y: 29.52
Brocoli: 75  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 76  tamaño x:23.00  tamaño Y: 22.54
Brocoli: 77  tamaño x:12.00  tamaño Y: 9.65
Brocoli: 78  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 79  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 80  tamaño x:12.00  tamaño Y: 11.76
Brocoli: 81  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 82  tamaño x:0.00  tamaño Y: 0.00
