02/Oct/2023  10:33 AM
*********************************************************************************
Brocoli: 1  tamaño x:126.00  tamaño Y: 239.12
Brocoli: 2  tamaño x:200.00  tamaño Y: 363.70
Brocoli: 3  tamaño x:215.00  tamaño Y: 258.15
Brocoli: 4  tamaño x:82.00  tamaño Y: 102.20
Brocoli: 5  tamaño x:166.00  tamaño Y: 160.35
Brocoli: 6  tamaño x:100.00  tamaño Y: 291.45
Brocoli: 7  tamaño x:55.00  tamaño Y: 63.14
Brocoli: 8  tamaño x:108.00  tamaño Y: 317.12
Brocoli: 9  tamaño x:49.00  tamaño Y: 95.68
Brocoli: 10  tamaño x:35.00  tamaño Y: 83.27
Brocoli: 11  tamaño x:141.00  tamaño Y: 376.04
Brocoli: 12  tamaño x:315.00  tamaño Y: 545.87
Brocoli: 13  tamaño x:129.00  tamaño Y: 339.34
Brocoli: 14  tamaño x:93.00  tamaño Y: 158.18
Brocoli: 15  tamaño x:18.00  tamaño Y: 22.11
Brocoli: 16  tamaño x:185.00  tamaño Y: 208.56
Brocoli: 17  tamaño x:176.00  tamaño Y: 205.56
Brocoli: 18  tamaño x:162.00  tamaño Y: 383.80
Brocoli: 19  tamaño x:198.00  tamaño Y: 210.21
Brocoli: 20  tamaño x:165.00  tamaño Y: 199.92
Brocoli: 21  tamaño x:201.00  tamaño Y: 425.16
Brocoli: 22  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 23  tamaño x:129.00  tamaño Y: 365.59
Brocoli: 24  tamaño x:131.00  tamaño Y: 387.42
Brocoli: 25  tamaño x:61.00  tamaño Y: 193.32
Brocoli: 26  tamaño x:66.00  tamaño Y: 189.64
Brocoli: 27  tamaño x:234.00  tamaño Y: 687.12
Brocoli: 28  tamaño x:157.00  tamaño Y: 503.74
Brocoli: 29  tamaño x:141.00  tamaño Y: 335.42
Brocoli: 30  tamaño x:9.00  tamaño Y: 9.76
Brocoli: 31  tamaño x:39.00  tamaño Y: 100.00
Brocoli: 32  tamaño x:5.00  tamaño Y: 5.37
Brocoli: 33  tamaño x:110.00  tamaño Y: 147.87
Brocoli: 34  tamaño x:155.00  tamaño Y: 382.12
Brocoli: 35  tamaño x:31.00  tamaño Y: 95.36
Brocoli: 36  tamaño x:35.00  tamaño Y: 101.97
Brocoli: 37  tamaño x:53.00  tamaño Y: 158.02
Brocoli: 38  tamaño x:34.00  tamaño Y: 117.21
Brocoli: 39  tamaño x:34.00  tamaño Y: 80.79
Brocoli: 40  tamaño x:28.00  tamaño Y: 90.67
Brocoli: 41  tamaño x:33.00  tamaño Y: 97.31
Brocoli: 42  tamaño x:21.00  tamaño Y: 30.59
Brocoli: 43  tamaño x:35.00  tamaño Y: 148.50
Brocoli: 44  tamaño x:46.00  tamaño Y: 132.44
Brocoli: 45  tamaño x:83.00  tamaño Y: 230.59
Brocoli: 46  tamaño x:19.00  tamaño Y: 65.25
Brocoli: 47  tamaño x:37.00  tamaño Y: 170.92
Brocoli: 48  tamaño x:168.00  tamaño Y: 458.45
Brocoli: 49  tamaño x:8.00  tamaño Y: 8.70
Brocoli: 50  tamaño x:28.00  tamaño Y: 44.10
